"group","time","att","se","ci_lower","ci_upper"
1973,1973,17.4289549140656,12.6493916335324,-7.36385268765785,42.2217625157891
1973,1974,11.9793865330284,10.6030880769834,-8.80266609785902,32.7614391639159
1973,1975,25.8210939949644,12.4896852606273,1.34131088413477,50.300877105794
1973,1976,14.9084029380908,8.54276848237647,-1.83542328736707,31.6522291635487
1973,1977,NA,NA,NA,NA
1973,1978,NA,NA,NA,NA
1973,1979,NA,NA,NA,NA
1973,1980,NA,NA,NA,NA
1973,1981,NA,NA,NA,NA
1973,1982,NA,NA,NA,NA
1973,1983,NA,NA,NA,NA
1973,1984,NA,NA,NA,NA
1974,1965,-3.59971564170041,6.59379973531386,-16.5235631229156,9.32413183951476
1974,1966,7.83126407249581,6.00798235313451,-3.94438133964782,19.6069094846394
1974,1967,-5.38134705246735,4.19680628720861,-13.6070873753962,2.84439327046154
